frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52077,0,2905006026,0,0,0,0,0,1,0,0,1,0,28960,0.005793000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52077,80,0,2778547472,0,0,0,0,0,1,0,0,0,0,28416,0.000093000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52077,80,239,2778547472,0,0,0,0,0,1,1,0,0,0,28416,0.000324000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52076,0,1026116702,0,0,0,0,0,1,0,0,0,0,30208,0.005317000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52079,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52078,0,142498409,0,0,0,0,0,1,0,0,1,0,28960,0.006080000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52078,80,0,3776713547,0,0,0,0,0,1,0,0,0,0,28416,0.000038000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52078,80,239,3776713547,0,0,0,0,0,1,1,0,0,0,28416,0.000161000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52080,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52077,0,2905006265,0,0,0,0,0,1,0,0,0,0,30208,0.005305000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52079,0,3397968766,0,0,0,0,0,1,0,0,1,0,28960,0.005995000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52079,80,0,875572388,0,0,0,0,0,1,0,0,0,0,28416,0.000040000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52079,80,239,875572388,0,0,0,0,0,1,1,0,0,0,28416,0.000345000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52078,0,142498648,0,0,0,0,0,1,0,0,0,0,30208,0.005612000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52081,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52080,0,2821527975,0,0,0,0,0,1,0,0,1,0,28960,0.005741000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52080,80,0,3871183617,0,0,0,0,0,1,0,0,0,0,28416,0.000038000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52080,80,239,3871183617,0,0,0,0,0,1,1,0,0,0,28416,0.000169000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52082,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52079,0,3397969005,0,0,0,0,0,1,0,0,0,0,30208,0.005596000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52081,0,3953161017,0,0,0,0,0,1,0,0,1,0,15928,0.005900000
